caldt,mkt,ewmkt
1928-04-16,0.00519371,0.00366131
1928-04-17,-0.00645699,-0.00394928
1928-04-18,0.000281699,0.00120816
1928-04-19,0.00579249,0.0103732
1928-04-20,-0.0132629,-0.0133571
1928-04-23,-0.00709267,-0.00545725
1928-04-24,0.00369273,0.00162125
1928-04-25,0.00766985,0.012885
1928-04-26,0.00667751,0.00922966
1928-04-27,0.010414,0.013122
1928-04-28,0.00473249,0.00499244
1928-04-30,0.000612485,0.00127626
1928-05-01,0.00273609,0.00414483
1928-05-02,0.00086176,0.00343655
1928-05-03,0.00394612,0.0027872
1928-05-04,0.0117216,0.00712297
1928-05-07,0.00742185,0.008969
1928-05-08,-0.00559842,-0.00386099
